District,KDG_District,Original Maize Production Value,Perturbation,Factor,New Maize Production Values,Percentage Change,Change
VIJAYANAGARA,Vijayanagara,206115.5,-10,NetAreaIrrigated_Canals_NetAreaIrrigated,200339,-2.802554878211488,-5776.5
BENGALURU,Bengaluru Urban,3376.0,20,TotalNPK,3441,1.925355450236967,65.0
BENGALURU(R),Bengaluru Rural,2354.0,20,TotalNPK,2375,0.8920985556499574,21.0
RAMANAGARA,Ramanagara,12128.0,20,TotalNPK,12160,0.2638522427440633,32.0
CHITRADURGA,Chitradurga,4566.0,20,TotalNPK,4589,0.5037231712658783,23.0
DAVANAGERE,Davanagere,489505.0,20,TotalNPK,492206,0.5517819021256167,2701.0
KOLAR,Kolar,864.0,20,TotalNPK,877,1.5046296296296295,13.0
CHIKKABALLAPURA,Chikkaballapura,2698.0,20,TotalNPK,2724,0.9636767976278725,26.0
SHIVAMOGGA,Shivamogga,384974.0,20,TotalNPK,387232,0.5865331165221547,2258.0
TUMAKURU,Tumakuru,26042.0,20,TotalNPK,26178,0.5222333154135627,136.0
CHIKKAMAGALURU,Chikkamagaluru,110533.0,20,TotalNPK,112405,1.6936118625206953,1872.0
DAKSHINA KANNADA,Dakshina Kannada,132588.0,20,TotalNPK,133722,0.8552810209068694,1134.0
UDUPI,Udupi,138156.0,20,TotalNPK,138528,0.2692608355771736,372.0
HASSAN,Hassan,143705.0,20,TotalNPK,144639,0.6499425907240527,934.0
KODAGU,Kodagu,86303.0,20,TotalNPK,88462,2.501651159287626,2159.0
MANDYA,Mandya,246543.0,20,TotalNPK,248891,0.9523693635592979,2348.0
MYSURU,Mysuru,354227.0,20,TotalNPK,356513,0.6453488864485203,2286.0
CHAMARAJANAGAR,Chamarajanagara,45856.0,20,TotalNPK,46144,0.6280530355896721,288.0
BELAGAVI,Belagavi,177552.0,20,TotalNPK,179446,1.0667297467784085,1894.0
VIJAYAPURA,Vijayapura,170.0,20,TotalNPK,170,0.0,0.0
BAGALKOT,Bagalkote,85.0,20,TotalNPK,85,0.0,0.0
DHARAWAD,Dharwad,33989.0,20,TotalNPK,34297,0.9061755273765041,308.0
GADAG,Gadag,7258.0,20,TotalNPK,7295,0.5097823091760816,37.0
HAVERI,Haveri,125422.0,20,TotalNPK,126262,0.6697389612667635,840.0
UTTARA KANNADA,Uttara Kannada,152981.0,20,TotalNPK,153811,0.5425510357495376,830.0
BALLARI,Ballari,206115.5,20,TotalNPK,208237,1.029277274149688,2121.5
BIDAR,Bidar,2036.0,20,TotalNPK,2059,1.1296660117878194,23.0
KALABURAGI,Kalaburagi,7888.0,20,TotalNPK,7936,0.6085192697768762,48.0
