District,KDG_District,Original Rice Production,Original Maize Production,Initial Stress,Initial Stability,New Rice Production,New Maize Production,Rice Impact,Maize Impact,Stability,Stress,Perturbation,Factor
YADGIRI,Yadgir,31435.0,2673,0.22147510789036517,0.7785248921096348,35135,3104,11.770319707332591,16.1242050130939,0.7536154780697685,0.2463845219302315,20,TotalNPK
RAICHUR,Raichur,26958.0,723,0.26002911578334714,0.7399708842166528,28917,795,7.26685955931449,9.95850622406639,0.7367596158852259,0.2632403841147742,20,TotalNPK
KOPPAL,Koppal,29982.0,190252,0.1326457580085404,0.8673542419914596,31461,203121,4.932959775865519,6.7641864474486475,0.8726948402165172,0.1273051597834828,20,TotalNPK
VIJAYANAGARA,Vijayanagara,22938.5,104045,0.32875058235570903,0.6712494176442909,24520,113879,6.894522309654075,9.451679561728099,0.6824621347572125,0.3175378652427875,20,TotalNPK
BENGALURU,Bengaluru Urban,71.0,2879,0.05347237266796119,0.9465276273320388,61,2366,-14.084507042253522,-17.81868704411254,0.9463462535496129,0.05365374645038716,-20,TotalNPK
BENGALURU(R),Bengaluru Rural,206.0,42583,0.1648287272605715,0.8351712727394285,193,39030,-6.310679611650485,-8.343705234483243,0.8369921408837752,0.1630078591162248,-20,TotalNPK
RAMANAGARA,Ramanagara,4830.0,10450,0.10705738980098825,0.8929426101990118,4742,10189,-1.8219461697722568,-2.4976076555023923,0.8952608815997156,0.10473911840028441,-20,TotalNPK
CHITRADURGA,Chitradurga,68575.0,271975,0.7058700845529036,0.29412991544709643,66228,259216,-3.4225300765585125,-4.691240003676809,0.2867447909567289,0.7132552090432711,-20,TotalNPK
DAVANAGERE,Davanagere,16592.0,593544,0.6743961217727216,0.32560387822727843,15978,563465,-3.7005785920925747,-5.067695065572224,0.3204165086967621,0.6795834913032379,-20,TotalNPK
KOLAR,Kolar,5810.0,1759,0.12571230207381984,0.8742876979261802,5187,1500,-10.72289156626506,-14.724275156338829,0.8799480931453565,0.1200519068546435,-20,TotalNPK
CHIKKABALLAPURA,Chikkaballapura,7132.0,105491,0.16485912553968798,0.835140874460312,6658,95898,-6.646102075154234,-9.093666758301657,0.8389264337910505,0.16107356620894958,-20,TotalNPK
SHIVAMOGGA,Shivamogga,248.0,226532,0.1319883906591076,0.8680116093408924,238,214328,-4.032258064516129,-5.3873183479596705,0.8692070172644055,0.13079298273559445,-20,TotalNPK
TUMAKURU,Tumakuru,39626.0,66868,0.40849822748061015,0.5915017725193898,38236,63654,-3.5077979104628274,-4.806484417060478,0.5918040010836338,0.40819599891636615,-20,TotalNPK
CHIKKAMAGALURU,Chikkamagaluru,3909.0,61353,0.33243530731599663,0.6675646926840033,3465,51808,-11.3584036838066,-15.557511450132838,0.6563008051081273,0.34369919489187273,-20,TotalNPK
DAKSHINA KANNADA,Dakshina Kannada,0.0,0,0.1765753591303179,0.8234246408696821,0,0,,,0.829130083894972,0.17086991610502805,-20,TotalNPK
UDUPI,Udupi,3623.0,109,0.13334799504629605,0.866652004953704,3557,106,-1.8216947281258624,-2.7522935779816518,0.8693761650384286,0.13062383496157134,-20,TotalNPK
HASSAN,Hassan,521.0,333937,0.4892598155189365,0.5107401844810635,498,313996,-4.414587332053743,-5.971485639506853,0.5128897702483031,0.48711022975169693,-20,TotalNPK
KODAGU,Kodagu,45.0,17921,0.23469980381950048,0.7653001961804995,37,13802,-17.77777777777778,-22.984208470509458,0.7620897393635642,0.23791026063643586,-20,TotalNPK
MANDYA,Mandya,1021.0,19387,0.25066534885201175,0.7493346511479883,955,17691,-6.464250734573946,-8.748130190333729,0.7494984756749545,0.25050152432504547,-20,TotalNPK
MYSURU,Mysuru,2170.0,137154,0.014002127965103637,0.9859978720348964,2076,129026,-4.331797235023042,-5.9261851641220815,0.9847509416738166,0.015249058326183377,-20,TotalNPK
CHAMARAJANAGAR,Chamarajanagara,8867.0,147886,0.17971747377954864,0.8202825262204514,8493,139355,-4.217886545618586,-5.768632595377521,0.8216444684649394,0.17835553153506056,-20,TotalNPK
BELAGAVI,Belagavi,39530.0,576758,0.7697297976417838,0.23027020235821616,36704,520248,-7.1490007589172775,-9.797870163916235,0.2757116268235089,0.7242883731764911,-20,TotalNPK
VIJAYAPURA,Vijayapura,27528.0,226327,0.10144960914529635,0.8985503908547037,26446,214133,-3.930543446672479,-5.387779628590491,0.8797629268438896,0.12023707315611039,-20,TotalNPK
BAGALKOT,Bagalkote,25444.0,251699,0.09231825374290285,0.9076817462570972,23464,224853,-7.781795315202013,-10.665914445428866,0.9062732861889661,0.09372671381103388,-20,TotalNPK
DHARAWAD,Dharwad,21178.0,90634,0.33422924737945514,0.6657707526205449,19891,83088,-6.077061101142696,-8.325793852196748,0.6741618537977753,0.32583814620222473,-20,TotalNPK
GADAG,Gadag,31332.0,138476,0.20050474004418264,0.7994952599558174,30251,131932,-3.4501468147580745,-4.725728646119183,0.8090110961482309,0.19098890385176912,-20,TotalNPK
HAVERI,Haveri,18309.0,413487,0.38869943131575163,0.6113005686842483,17487,388056,-4.48959528100934,-6.150374739713703,0.6160235904588461,0.38397640954115386,-20,TotalNPK
UTTARA KANNADA,Uttara Kannada,3825.0,24088,0.4411134735619832,0.5588865264380167,3685,22887,-3.6601307189542487,-4.985885088010628,0.573032521206696,0.426967478793304,-20,TotalNPK
BALLARI,Ballari,22938.5,104045,0.26233855361695374,0.7376614463830462,21356,94210,-6.898881792619395,-9.452640684319286,0.7299790050907329,0.2700209949092671,-20,TotalNPK
BIDAR,Bidar,261.0,2791,0.04613187075236701,0.953868129247633,241,2499,-7.662835249042145,-10.462199928341096,0.9539896368019005,0.04601036319809946,-20,TotalNPK
KALABURAGI,Kalaburagi,3114.0,14621,0.26444294738868324,0.7355570526113168,2984,13790,-4.174694926140013,-5.6836057725189795,0.7482081452815242,0.25179185471847576,-20,TotalNPK
YADGIRI,Yadgir,31435.0,2673,0.22147510789036517,0.7785248921096348,27734,2241,-11.773500874821059,-16.161616161616163,0.8045568685787999,0.1954431314212001,-20,TotalNPK
RAICHUR,Raichur,26958.0,723,0.26002911578334714,0.7399708842166528,24998,650,-7.270569033311077,-10.096818810511756,0.7480266615552125,0.25197333844478753,-20,TotalNPK
KOPPAL,Koppal,29982.0,190252,0.1326457580085404,0.8673542419914596,28502,177382,-4.936295110399573,-6.7647120661018025,0.8632191243166235,0.13678087568337652,-20,TotalNPK
VIJAYANAGARA,Vijayanagara,22938.5,104045,0.32875058235570903,0.6712494176442909,21356,94210,-6.898881792619395,-9.452640684319286,0.6635765200827621,0.3364234799172378,-20,TotalNPK
