District,KDG_District,Crop,Original Production,New Production,Impact,Stability,Stress,Perturbation,Factor
CHIKKABALLAPURA,Chikkaballapura,Rice,2698.0,2724,0.9636767976278725,0.8796626437184959,0.12033735628150406,20,TotalNPK
SHIVAMOGGA,Shivamogga,Rice,384974.0,387232,0.5865331165221547,0.6328928494730057,0.3671071505269943,20,TotalNPK
TUMAKURU,Tumakuru,Rice,26042.0,26178,0.5222333154135627,0.864278161009231,0.13572183899076895,20,TotalNPK
CHIKKAMAGALURU,Chikkamagaluru,Rice,110533.0,112405,1.6936118625206953,0.7121126354308054,0.2878873645691946,20,TotalNPK
DAKSHINA KANNADA,Dakshina Kannada,Rice,132588.0,133722,0.8552810209068694,0.8217169744851762,0.17828302551482372,20,TotalNPK
UDUPI,Udupi,Rice,138156.0,138528,0.2692608355771736,0.8235119758238469,0.17648802417615303,20,TotalNPK
HASSAN,Hassan,Rice,143705.0,144639,0.6499425907240527,0.5266798224344712,0.4733201775655288,20,TotalNPK
KODAGU,Kodagu,Rice,86303.0,88462,2.501651159287626,0.6634948476375315,0.3365051523624684,20,TotalNPK
MANDYA,Mandya,Rice,246543.0,248891,0.9523693635592979,0.6685840877023319,0.33141591229766815,20,TotalNPK
MYSURU,Mysuru,Rice,354227.0,356513,0.6453488864485203,0.5487420667309111,0.4512579332690889,20,TotalNPK
CHAMARAJANAGAR,Chamarajanagara,Rice,45856.0,46144,0.6280530355896721,0.6440865927922865,0.3559134072077134,20,TotalNPK
BELAGAVI,Belagavi,Rice,177552.0,179446,1.0667297467784085,0.19697057130843698,0.803029428691563,20,TotalNPK
VIJAYAPURA,Vijayapura,Rice,170.0,170,0.0,0.6238899639795557,0.37611003602044435,20,TotalNPK
BAGALKOT,Bagalkote,Rice,85.0,85,0.0,0.6224937145204218,0.3775062854795782,20,TotalNPK
DHARAWAD,Dharwad,Rice,33989.0,34297,0.9061755273765041,0.625861315342644,0.374138684657356,20,TotalNPK
GADAG,Gadag,Rice,7258.0,7295,0.5097823091760816,0.6645124153310975,0.3354875846689025,20,TotalNPK
HAVERI,Haveri,Rice,125422.0,126262,0.6697389612667635,0.5758370667384367,0.4241629332615633,20,TotalNPK
UTTARA KANNADA,Uttara Kannada,Rice,152981.0,153811,0.5425510357495376,0.5929945031977588,0.40700549680224113,20,TotalNPK
BALLARI,Ballari,Rice,206115.5,208237,1.029277274149688,0.7687050091591591,0.2312949908408409,20,TotalNPK
BIDAR,Bidar,Rice,2036.0,2059,1.1296660117878194,0.9771732311494524,0.022826768850547595,20,TotalNPK
KALABURAGI,Kalaburagi,Rice,7888.0,7936,0.6085192697768762,0.8264009482718668,0.17359905172813314,20,TotalNPK
YADGIRI,Yadgir,Rice,224659.0,228607,1.7573299979079404,0.8232492276136492,0.1767507723863508,20,TotalNPK
RAICHUR,Raichur,Rice,492342.0,497683,1.0848150269528092,0.22787788204791026,0.7721221179520897,20,TotalNPK
KOPPAL,Koppal,Rice,243505.0,245298,0.7363298494897436,0.8320526056250804,0.1679473943749196,20,TotalNPK
VIJAYANAGARA,Vijayanagara,Rice,206115.5,208237,1.029277274149688,0.6984627292062695,0.30153727079373055,20,TotalNPK
BENGALURU,Bengaluru Urban,Maize,2879.0,3390,17.749218478638415,0.9597278795778718,0.04027212042212823,20,TotalNPK
BENGALURU(R),Bengaluru Rural,Maize,42583.0,46126,8.32022168470986,0.9836435565347359,0.016356443465264072,20,TotalNPK
RAMANAGARA,Ramanagara,Maize,10450.0,10709,2.4784688995215314,0.8682131077101054,0.13178689228989457,20,TotalNPK
CHITRADURGA,Chitradurga,Maize,271975.0,284697,4.677635812115084,0.5663358199795283,0.4336641800204717,20,TotalNPK
DAVANAGERE,Davanagere,Maize,593544.0,623538,5.05337430754923,0.08674073530467608,0.9132592646953239,20,TotalNPK
KOLAR,Kolar,Maize,1759.0,2016,14.610574189880616,0.8758447445071207,0.12415525549287933,20,TotalNPK
CHIKKABALLAPURA,Chikkaballapura,Maize,105491.0,115056,9.067124209648217,0.8796626437184959,0.12033735628150406,20,TotalNPK
SHIVAMOGGA,Shivamogga,Maize,226532.0,238701,5.371867992160048,0.6328928494730057,0.3671071505269943,20,TotalNPK
TUMAKURU,Tumakuru,Maize,66868.0,70072,4.791529580666388,0.864278161009231,0.13572183899076895,20,TotalNPK
CHIKKAMAGALURU,Chikkamagaluru,Maize,61353.0,70871,15.513503822143987,0.7121126354308054,0.2878873645691946,20,TotalNPK
DAKSHINA KANNADA,Dakshina Kannada,Maize,0.0,0,,0.8217169744851762,0.17828302551482372,20,TotalNPK
UDUPI,Udupi,Maize,109.0,111,1.834862385321101,0.8235119758238469,0.17648802417615303,20,TotalNPK
HASSAN,Hassan,Maize,333937.0,353821,5.954416551625007,0.5266798224344712,0.4733201775655288,20,TotalNPK
KODAGU,Kodagu,Maize,17921.0,22027,22.91166787567658,0.6634948476375315,0.3365051523624684,20,TotalNPK
MANDYA,Mandya,Maize,19387.0,21077,8.71718161654717,0.6685840877023319,0.33141591229766815,20,TotalNPK
MYSURU,Mysuru,Maize,137154.0,145258,5.908686585881564,0.5487420667309111,0.4512579332690889,20,TotalNPK
