District,KDG_District,Original Rice Production,Original Maize Production,Initial Stress,Initial Stability,New Rice Production,New Maize Production,Rice Impact,Maize Impact,Stability,Stress,Perturbation,Factor
VIJAYANAGARA,Vijayanagara,22938.5,104045,0.41648396243750463,0.5835160375624954,24516,113868,6.877084377792794,9.441107213225047,0.6147579169337662,0.38524208306623375,20,TotalNPK
BENGALURU,Bengaluru Urban,71.0,2879,0.05222813228440337,0.9477718677155966,61,2366,-14.084507042253522,-17.81868704411254,0.9614500356737082,0.038549964326291764,-20,TotalNPK
BENGALURU(R),Bengaluru Rural,206.0,42583,0.19957797675979674,0.8004220232402033,193,39033,-6.310679611650485,-8.33666016955123,0.9899619300163628,0.010038069983637264,-20,TotalNPK
RAMANAGARA,Ramanagara,4830.0,10450,0.12313332642127031,0.8768666735787297,4742,10190,-1.8219461697722568,-2.488038277511962,0.908103046866292,0.09189695313370803,-20,TotalNPK
CHITRADURGA,Chitradurga,68575.0,271975,0.9154990406581235,0.08450095934187651,66234,259230,-3.4137805322639445,-4.6860924717345345,0.7627261237703259,0.23727387622967414,-20,TotalNPK
DAVANAGERE,Davanagere,16592.0,593544,0.8738518123733005,0.12614818762669955,15980,563498,-3.6885245901639343,-5.062135241869179,0.01420880398819191,0.9857911960118081,-20,TotalNPK
KOLAR,Kolar,5810.0,1759,0.14781802836001584,0.8521819716399841,5189,1500,-10.688468158347677,-14.724275156338829,0.8458795897622465,0.1541204102377535,-20,TotalNPK
CHIKKABALLAPURA,Chikkaballapura,7132.0,105491,0.199618200613357,0.800381799386643,6660,95909,-6.618059450364553,-9.08323932847352,0.857299217578486,0.14270078242151393,-20,TotalNPK
SHIVAMOGGA,Shivamogga,248.0,226532,0.1561227243994937,0.8438772756005063,238,214341,-4.032258064516129,-5.381579644376953,0.9876373068947462,0.012362693105253826,-20,TotalNPK
TUMAKURU,Tumakuru,39626.0,66868,0.5220082780405303,0.4779917219594697,38240,63657,-3.4977035279866753,-4.801997966142251,0.8734750132133416,0.12652498678665833,-20,TotalNPK
CHIKKAMAGALURU,Chikkamagaluru,3909.0,61353,0.42135969361440334,0.5786403063855967,3466,51818,-11.332821693527755,-15.541212328655485,0.6206882877810675,0.37931171221893245,-20,TotalNPK
DAKSHINA KANNADA,Dakshina Kannada,0.0,0,0.2151214487551677,0.7848785512448323,0,0,,,0.7691445798729107,0.2308554201270893,-20,TotalNPK
UDUPI,Udupi,3623.0,109,0.15792179097035264,0.8420782090296474,3557,106,-1.8216947281258624,-2.7522935779816518,0.8295009784768528,0.17049902152314717,-20,TotalNPK
HASSAN,Hassan,521.0,333937,0.6288742712797063,0.3711257287202937,498,314019,-4.414587332053743,-5.964598112817687,0.31037475145516047,0.6896252485448395,-20,TotalNPK
KODAGU,Kodagu,45.0,17921,0.29203334046087925,0.7079666595391207,37,13807,-17.77777777777778,-22.956308241727584,0.6660146464565276,0.33398535354347236,-20,TotalNPK
MANDYA,Mandya,1021.0,19387,0.31315939641082446,0.6868406035891755,956,17693,-6.366307541625857,-8.737813999071543,0.7187229144483605,0.28127708555163955,-20,TotalNPK
MYSURU,Mysuru,2170.0,137154,0.0,1.0,2076,129035,-4.331797235023042,-5.919623197281887,1.0,0.0,-20,TotalNPK
CHAMARAJANAGAR,Chamarajanagara,8867.0,147886,0.2192791827846429,0.7807208172153571,8494,139364,-4.206608774106237,-5.762546826609686,0.7895417771213026,0.2104582228786974,-20,TotalNPK
BELAGAVI,Belagavi,39530.0,576758,1.0,0.0,36712,520311,-7.128762964836833,-9.786947038445934,0.0,1.0,-20,TotalNPK
VIJAYAPURA,Vijayapura,27528.0,226327,0.11571295413545596,0.884287045864544,26448,214146,-3.9232781168265043,-5.382035727067473,0.8568419871724169,0.1431580128275831,-20,TotalNPK
BAGALKOT,Bagalkote,25444.0,251699,0.10363008914481703,0.896369910855183,23469,224882,-7.762144316931301,-10.654392746892121,0.9755535833323687,0.024446416667631237,-20,TotalNPK
DHARAWAD,Dharwad,21178.0,90634,0.423733485306093,0.576266514693907,19895,83096,-6.058173576352819,-8.316967142573427,0.5366054504124798,0.46339454958752024,-20,TotalNPK
GADAG,Gadag,31332.0,138476,0.24678547519488023,0.7532145248051197,30254,131940,-3.4405719392314564,-4.7199514717351745,0.7709090817096594,0.22909091829034056,-20,TotalNPK
HAVERI,Haveri,18309.0,413487,0.49580995692661767,0.5041900430733823,17489,388084,-4.478671691517833,-6.143603063699706,0.44827962016759637,0.5517203798324036,-20,TotalNPK
UTTARA KANNADA,Uttara Kannada,3825.0,24088,0.565165684325954,0.43483431567404596,3686,22889,-3.633986928104575,-4.9775821986051145,0.44148804481269466,0.5585119551873053,-20,TotalNPK
BALLARI,Ballari,22938.5,104045,0.3286057076064117,0.6713942923935883,21360,94221,-6.8814438607581145,-9.442068335816234,0.65847822185814,0.34152177814185997,-20,TotalNPK
BIDAR,Bidar,261.0,2791,0.042514974740847186,0.9574850252591528,241,2499,-7.662835249042145,-10.462199928341096,0.9899474096232258,0.010052590376774228,-20,TotalNPK
KALABURAGI,Kalaburagi,3114.0,14621,0.33139030033229383,0.6686096996677062,2985,13790,-4.142581888246628,-5.6836057725189795,0.8588922584722256,0.14110774152777433,-20,TotalNPK
YADGIRI,Yadgir,31435.0,2673,0.2745340527415435,0.7254659472584565,27743,2242,-11.744870367424845,-16.1242050130939,0.8231485603824544,0.17685143961754557,-20,TotalNPK
RAICHUR,Raichur,26958.0,723,0.3255497948401177,0.6744502051598823,25004,651,-7.248312189331553,-9.95850622406639,0.644693623924115,0.35530637607588494,-20,TotalNPK
KOPPAL,Koppal,29982.0,190252,0.1569925712713358,0.8430074287286642,28506,177396,-4.922953772263358,-6.757353404957635,0.8396567452193527,0.1603432547806473,-20,TotalNPK
VIJAYANAGARA,Vijayanagara,22938.5,104045,0.41648396243750463,0.5835160375624954,21360,94221,-6.8814438607581145,-9.442068335816234,0.5569277028356584,0.4430722971643416,-20,TotalNPK
