District,KDG_District,Original Groundnut Production Value,Perturbation,Factor,New Groundnut Production Values,Percentage Change,Change,Initial Stress,Initial Stability,Stress,Stability
BAGALKOT,Bagalkote,25444.0,-20,AreaUnderOilSeeds_GroundNut,23970,-5.793114290205943,-1474.0,0.0819832300401021,0.9180167699598979,0.08369905956112861,0.9163009404388713
DHARAWAD,Dharwad,21178.0,-20,AreaUnderOilSeeds_GroundNut,19154,-9.557087543677401,-2024.0,0.030200510390083868,0.9697994896099161,0.04304011905892785,0.9569598809410722
GADAG,Gadag,31332.0,-20,AreaUnderOilSeeds_GroundNut,29027,-7.3566960296182815,-2305.0,0.08125410134888805,0.9187458986511119,0.08204752405379367,0.9179524759462063
HAVERI,Haveri,18309.0,-20,AreaUnderOilSeeds_GroundNut,17313,-5.4399475667704404,-996.0,0.0189802614447164,0.9810197385552836,0.029470703451894648,0.9705292965481054
UTTARA KANNADA,Uttara Kannada,3825.0,-20,AreaUnderOilSeeds_GroundNut,3715,-2.8758169934640523,-110.0,0.18596573095151295,0.8140342690484871,0.18704600867610272,0.8129539913238972
BALLARI,Ballari,22938.5,-20,AreaUnderOilSeeds_GroundNut,20153,-12.143339799899731,-2785.5,0.11273787823550857,0.8872621217644914,0.13118194936376748,0.8688180506362325
BIDAR,Bidar,261.0,-20,AreaUnderOilSeeds_GroundNut,244,-6.513409961685824,-17.0,0.04160408312067079,0.9583959168793292,0.04205060004433045,0.9579493999556695
KALABURAGI,Kalaburagi,3114.0,-20,AreaUnderOilSeeds_GroundNut,2900,-6.872190109184329,-214.0,0.24246931583424478,0.7575306841657552,0.247754451516207,0.752245548483793
YADGIRI,Yadgir,31435.0,-20,AreaUnderOilSeeds_GroundNut,29261,-6.915858119930014,-2174.0,0.17841779074006564,0.8215822092599343,0.17836146206052161,0.8216385379394784
RAICHUR,Raichur,26958.0,-20,AreaUnderOilSeeds_GroundNut,24945,-7.467171155130202,-2013.0,0.007400656215822088,0.9925993437841779,0.01119343909312559,0.9888065609068744
KOPPAL,Koppal,29982.0,-20,AreaUnderOilSeeds_GroundNut,28735,-4.159162163965046,-1247.0,0.0592023332118119,0.9407976667881881,0.0805135999493366,0.9194864000506634
VIJAYANAGARA,Vijayanagara,22938.5,-20,AreaUnderOilSeeds_GroundNut,20153,-12.143339799899731,-2785.5,0.12175841536031112,0.8782415846396889,0.14040087394319367,0.8595991260568063
BENGALURU,Bengaluru Urban,71.0,-20,LivestockCensus_2012_Sheep,69,-2.8169014084507045,-2.0,0.03568355814801312,0.9643164418519868,0.03632934599663381,0.9636706540033662
BENGALURU(R),Bengaluru Rural,206.0,-20,LivestockCensus_2012_Sheep,203,-1.4563106796116505,-3.0,0.16460517681370762,0.8353948231862924,0.16369018994950707,0.8363098100504929
RAMANAGARA,Ramanagara,4830.0,-20,LivestockCensus_2012_Sheep,4770,-1.2422360248447204,-60.0,0.07478235508567264,0.9252176449143273,0.07387292618417889,0.9261270738158212
CHITRADURGA,Chitradurga,68575.0,-20,LivestockCensus_2012_Sheep,66544,-2.961720743711265,-2031.0,0.6908377688662048,0.30916223113379515,0.6893664342389998,0.3106335657610002
DAVANAGERE,Davanagere,16592.0,-20,LivestockCensus_2012_Sheep,16522,-0.4218900675024108,-70.0,0.09081540891967432,0.9091845910803257,0.0860182736234672,0.9139817263765329
KOLAR,Kolar,5810.0,-20,LivestockCensus_2012_Sheep,5397,-7.1084337349397595,-413.0,0.031221290557783443,0.9687787094422166,0.027786126472709782,0.9722138735272903
CHIKKABALLAPURA,Chikkaballapura,7132.0,-20,LivestockCensus_2012_Sheep,6893,-3.3510936623667975,-239.0,0.11785636164783082,0.8821436383521691,0.11656447864069887,0.8834355213593011
SHIVAMOGGA,Shivamogga,248.0,-20,LivestockCensus_2012_Sheep,247,-0.4032258064516129,-1.0,0.13129566168428727,0.8687043383157127,0.1347168790574657,0.8652831209425342
TUMAKURU,Tumakuru,39626.0,-20,LivestockCensus_2012_Sheep,38349,-3.2226316055115327,-1277.0,0.39828758918806306,0.6017124108119369,0.39633711743894473,0.6036628825610553
CHIKKAMAGALURU,Chikkamagaluru,3909.0,-20,LivestockCensus_2012_Sheep,3889,-0.5116398055768739,-20.0,0.21211811884797666,0.7878818811520234,0.21163226050218117,0.7883677394978188
DAKSHINA KANNADA,Dakshina Kannada,0.0,-20,LivestockCensus_2012_Sheep,0,,0.0,0.02952242070725483,0.9704775792927451,0.030333313296465495,0.9696666867035345
UDUPI,Udupi,3623.0,-20,LivestockCensus_2012_Sheep,3622,-0.02760143527463428,-1.0,0.023733138899015675,0.9762668611009844,0.024528883144986774,0.9754711168550132
HASSAN,Hassan,521.0,-20,LivestockCensus_2012_Sheep,519,-0.3838771593090211,-2.0,0.10607607242678335,0.8939239275732167,0.1060325999839705,0.8939674000160295
