District,KDG_District,Original Groundnut Production Value,Perturbation,Factor,New Groundnut Production Values,Percentage Change,Change
BAGALKOT,Bagalkote,25444.0,10,LivestockCensus_2012_Sheep,25726,1.1083163024681655,282.0
DHARAWAD,Dharwad,21178.0,10,LivestockCensus_2012_Sheep,21220,0.19831901029370103,42.0
GADAG,Gadag,31332.0,10,LivestockCensus_2012_Sheep,31530,0.6319417847567982,198.0
HAVERI,Haveri,18309.0,10,LivestockCensus_2012_Sheep,18362,0.2894751215249331,53.0
UTTARA KANNADA,Uttara Kannada,3825.0,10,LivestockCensus_2012_Sheep,3825,0.0,0.0
BALLARI,Ballari,22938.5,10,LivestockCensus_2012_Sheep,23258,1.39285480741984,319.5
BIDAR,Bidar,261.0,10,LivestockCensus_2012_Sheep,262,0.38314176245210724,1.0
KALABURAGI,Kalaburagi,3114.0,10,LivestockCensus_2012_Sheep,3117,0.09633911368015415,3.0
YADGIRI,Yadgir,31435.0,10,LivestockCensus_2012_Sheep,31744,0.9829807539366948,309.0
RAICHUR,Raichur,26958.0,10,LivestockCensus_2012_Sheep,27136,0.6602863713925365,178.0
KOPPAL,Koppal,29982.0,10,LivestockCensus_2012_Sheep,30163,0.6036955506637316,181.0
VIJAYANAGARA,Vijayanagara,22938.5,10,LivestockCensus_2012_Sheep,23258,1.39285480741984,319.5
BENGALURU,Bengaluru Urban,71.0,10,MotorVehicles_Tractors,76,7.042253521126761,5.0
BENGALURU(R),Bengaluru Rural,206.0,10,MotorVehicles_Tractors,206,0.0,0.0
RAMANAGARA,Ramanagara,4830.0,10,MotorVehicles_Tractors,4960,2.691511387163561,130.0
CHITRADURGA,Chitradurga,68575.0,10,MotorVehicles_Tractors,69762,1.7309515129420343,1187.0
DAVANAGERE,Davanagere,16592.0,10,MotorVehicles_Tractors,16786,1.16923818707811,194.0
KOLAR,Kolar,5810.0,10,MotorVehicles_Tractors,6271,7.934595524956971,461.0
CHIKKABALLAPURA,Chikkaballapura,7132.0,10,MotorVehicles_Tractors,7317,2.593942793045429,185.0
SHIVAMOGGA,Shivamogga,248.0,10,MotorVehicles_Tractors,251,1.2096774193548387,3.0
TUMAKURU,Tumakuru,39626.0,10,MotorVehicles_Tractors,40569,2.3797506687528394,943.0
CHIKKAMAGALURU,Chikkamagaluru,3909.0,10,MotorVehicles_Tractors,4010,2.5837810181632133,101.0
DAKSHINA KANNADA,Dakshina Kannada,0.0,10,MotorVehicles_Tractors,0,,0.0
UDUPI,Udupi,3623.0,10,MotorVehicles_Tractors,3667,1.2144631520839084,44.0
HASSAN,Hassan,521.0,10,MotorVehicles_Tractors,528,1.3435700575815739,7.0
KODAGU,Kodagu,45.0,10,MotorVehicles_Tractors,46,2.2222222222222223,1.0
MANDYA,Mandya,1021.0,10,MotorVehicles_Tractors,1033,1.1753183153770812,12.0
MYSURU,Mysuru,2170.0,10,MotorVehicles_Tractors,2199,1.336405529953917,29.0
CHAMARAJANAGAR,Chamarajanagara,8867.0,10,MotorVehicles_Tractors,8923,0.6315552046915529,56.0
BELAGAVI,Belagavi,39530.0,10,MotorVehicles_Tractors,40241,1.79863394889957,711.0
VIJAYAPURA,Vijayapura,27528.0,10,MotorVehicles_Tractors,28011,1.7545771578029643,483.0
